Ukprn,Name,ApplicationType,StartDate,Status,ApplicationDeterminedDate
10001041,GLOUCESTERSHIRE ENTERPRISE LIMITED,Main provider,13/03/2017,,22/12/2021
10089078,AKR GROWTH VENTURES LTD,Main provider,29/03/2023,,01/03/2023
10040320,THE PIONEER SAILING TRUST,Main provider,29/03/2023,,31/01/2023
10036736,LOGISTICA TRAINING AND CONSULTANCY LTD,Main provider,13/03/2017,,31/05/2022
10010524,SOUTH WALES AND SOUTH WEST ROOFING TRAINING GROUP,Main provider,23/03/2023,,01/03/2023
10037348,INSPIRO LEARNING LIMITED,Main provider,13/03/2017,,22/12/2021
10081713,MULTI TRADES TRAINING LTD,Main provider,27/08/2020,,29/06/2022
10091601,PEABODY TRUST,Employer provider,16/03/2023,,22/12/2022
10048673,THE SYDNEY RUSSELL SCHOOL,Main provider,16/03/2023,,31/01/2023
10047354,VELOCITY 1ST LIMITED,Main provider,08/12/2021,,27/10/2021
10040525,UNITED UTILITIES WATER LIMITED,Employer provider,13/03/2017,,27/10/2021
10063352,THE CHIEF CONSTABLE OF GLOUCESTERSHIRE CONSTABULARY,Supporting provider,11/06/2019,,27/10/2021
10034309,REALISE LEARNING AND EMPLOYMENT LIMITED,Main provider,13/03/2017,,27/10/2021
10003375,QA LIMITED,Main provider,13/03/2017,,27/10/2021
10000565,NOTTINGHAMSHIRE TRAINING GROUP LIMITED,Main provider,13/03/2017,,30/09/2021
10067528,MARTEC TRAINING LIMITED,Main provider,19/07/2019,,27/10/2021
10003915,LIFETIME TRAINING GROUP LIMITED,Main provider,13/03/2017,,16/10/2019
10065578,LEARNING FOR EXCELLENCE LTD,Main provider,30/01/2018,,27/10/2021
10032315,KYP KNOW YOUR POTENTIAL CONSULTANCY LTD,Main provider,13/03/2017,,30/09/2021
10061312,JULIE MAYCOCK T/A Mighty Oak Training,Main provider,30/01/2018,,30/09/2021
10001156,ITEC TRAINING SOLUTIONS LTD,Main provider,17/05/2017,,30/09/2021
10063769,HERITAGE SKILLS ACADEMY LIMITED,Main provider,25/07/2019,,30/09/2021
10044886,GODDARD VETERINARY GROUP,Main provider,25/07/2019,,27/10/2021
10040392,GLASS & FENESTRATION TRAINING SOLUTIONS LTD,Main provider,13/03/2017,,30/09/2021
